cod;descricao;ean
1;PASTA P/ ECG 100GR-MULTIGEL;7898924950203
1;GEL P/ULTRAS./ ECOCARDIOG. BOLSA C/05 KG MULTIGEL;7898924950098
1;GEL P/ULTRASSON/ECOCARDIOGRAMA C/05 KG MULTIGEL;7898924950081
1;GEL ULTRASSOM 5000 GR (I);7898924950081
1;GEL ULTRASSOM 1000 GR (I);7898924950036
1;GEL ULTRASSOM 100 GR (I);7898924950029
1;GEL P/ ULTRASSON GALAO 5 L;7898225390289
1;PASTA P/ ECG 100GR C/112 -CARBOGEL;7898107240268
1;GEL P/ ECG 100GR;7898107240268
1;GEL P/ ULTRASSON 5000GR(TRANSP)-CARBOGEL;7898107240022
