CodigoNFe,DataEmissao,MunicipioEmitente,unidadecomercial,quantidadecomercial,valorunitariocomercial,DescricaoProduto,CLEAN
491707,2023-09-05,N/I,UN,16,84.8,Arroz Branco 5kg,N/I
976830,2023-02-27,N/I,UN,13,52.87,Achocolatado em Pó 400g,N/I
184670,2023-11-26,N/I,UN,3,68.08,Achocolatado em Pó 400g,N/I
991001,2023-05-31,N/I,UN,2,89.45,Óleo de Soja 900ml,N/I
738738,2023-02-05,N/I,UN,3,96.37,Achocolatado em Pó 400g,N/I
443515,2023-04-25,N/I,UN,9,45.2,Arroz Branco 5kg,N/I
202108,2023-04-06,N/I,UN,8,3.38,Açúcar Refinado 1kg,N/I
336085,2023-12-09,N/I,UN,17,17.89,Sal Refinado 1kg,N/I
260674,2023-06-30,N/I,UN,2,73.42,Açúcar Refinado 1kg,N/I
337214,2023-07-27,N/I,UN,6,86.2,Sal Refinado 1kg,N/I
677038,2023-12-19,N/I,UN,13,96.88,Óleo de Soja 900ml,N/I
275412,2023-03-23,N/I,UN,8,93.35,Macarrão Espaguete 500g,N/I
364389,2023-10-18,N/I,UN,11,55.05,Açúcar Refinado 1kg,N/I
712042,2024-01-01,N/I,UN,10,17.11,Óleo de Soja 900ml,N/I
579824,2023-10-04,N/I,UN,16,92.2,Feijão Carioca 1kg,N/I
128974,2023-03-30,N/I,UN,15,32.28,Achocolatado em Pó 400g,N/I
202721,2023-09-11,N/I,UN,11,22.05,Leite Integral 1L,N/I
271762,2023-05-16,N/I,UN,14,2.45,Arroz Branco 5kg,N/I
545942,2023-11-07,N/I,UN,8,19.87,Achocolatado em Pó 400g,N/I
838241,2023-09-12,N/I,UN,4,65.8,Macarrão Espaguete 500g,N/I
947968,2023-07-12,N/I,UN,5,30.78,Açúcar Refinado 1kg,N/I
959450,2023-12-05,N/I,UN,4,56.06,Farinha de Trigo 1kg,N/I
748798,2023-09-16,N/I,UN,3,88.29,Açúcar Refinado 1kg,N/I
360222,2023-02-21,N/I,UN,6,80.41,Macarrão Espaguete 500g,N/I
576201,2023-04-19,N/I,UN,3,68.04,Farinha de Trigo 1kg,N/I
292084,2023-05-13,N/I,UN,2,10.31,Leite Integral 1L,N/I
679309,2023-03-06,N/I,UN,1,76.99,Sal Refinado 1kg,N/I
805881,2023-02-01,N/I,UN,14,2.75,Farinha de Trigo 1kg,N/I
935304,2023-04-08,N/I,UN,4,72.27,Farinha de Trigo 1kg,N/I
253251,2023-07-26,N/I,UN,19,3.58,Café Torrado e Moído 500g,N/I
850527,2023-09-11,N/I,UN,5,87.15,Açúcar Refinado 1kg,N/I
511589,2023-08-18,N/I,UN,4,63.89,Sal Refinado 1kg,N/I
193686,2023-05-08,N/I,UN,11,62.49,Farinha de Trigo 1kg,N/I
187472,2023-02-08,N/I,UN,2,9.77,Leite Integral 1L,N/I
398905,2023-11-20,N/I,UN,13,63.51,Farinha de Trigo 1kg,N/I
664598,2023-10-28,N/I,UN,9,98.95,Feijão Carioca 1kg,N/I
144433,2023-04-30,N/I,UN,18,62.87,Óleo de Soja 900ml,N/I
262482,2023-01-19,N/I,UN,9,82.19,Achocolatado em Pó 400g,N/I
972245,2023-10-14,N/I,UN,20,62.01,Macarrão Espaguete 500g,N/I
939717,2023-06-29,N/I,UN,1,10.35,Arroz Branco 5kg,N/I
263029,2023-04-11,N/I,UN,3,43.82,Sal Refinado 1kg,N/I
284720,2023-06-25,N/I,UN,2,4.42,Arroz Branco 5kg,N/I
782371,2023-10-06,N/I,UN,4,24.17,Açúcar Refinado 1kg,N/I
623204,2023-05-23,N/I,UN,14,90.02,Macarrão Espaguete 500g,N/I
596245,2023-07-22,N/I,UN,10,79.75,Feijão Carioca 1kg,N/I
948115,2023-10-06,N/I,UN,19,70.71,Achocolatado em Pó 400g,N/I
928084,2023-09-20,N/I,UN,16,51.81,Arroz Branco 5kg,N/I
216310,2023-03-08,N/I,UN,11,12.09,Achocolatado em Pó 400g,N/I
871062,2023-08-22,N/I,UN,11,30.44,Arroz Branco 5kg,N/I
187513,2023-12-24,N/I,UN,15,76.2,Leite Integral 1L,N/I
119037,2023-04-08,N/I,UN,17,36.03,Arroz Branco 5kg,N/I
754145,2023-02-09,N/I,UN,6,41.46,Café Torrado e Moído 500g,N/I
288474,2023-09-09,N/I,UN,3,5.08,Açúcar Refinado 1kg,N/I
380634,2023-08-23,N/I,UN,18,24.43,Achocolatado em Pó 400g,N/I
555759,2023-08-08,N/I,UN,4,52.19,Macarrão Espaguete 500g,N/I
613293,2023-07-12,N/I,UN,11,60.1,Sal Refinado 1kg,N/I
162883,2023-02-06,N/I,UN,16,8.75,Achocolatado em Pó 400g,N/I
781002,2023-08-20,N/I,UN,7,84.92,Macarrão Espaguete 500g,N/I
553818,2023-03-28,N/I,UN,9,92.55,Arroz Branco 5kg,N/I
160533,2023-01-23,N/I,UN,15,64.44,Açúcar Refinado 1kg,N/I
714055,2023-02-24,N/I,UN,20,42.23,Arroz Branco 5kg,N/I
663904,2023-03-04,N/I,UN,4,88.58,Farinha de Trigo 1kg,N/I
223062,2023-02-05,N/I,UN,11,45.96,Açúcar Refinado 1kg,N/I
975490,2023-11-14,N/I,UN,3,42.86,Leite Integral 1L,N/I
713386,2023-10-09,N/I,UN,14,5.2,Feijão Carioca 1kg,N/I
759480,2023-07-25,N/I,UN,2,96.5,Sal Refinado 1kg,N/I
392931,2023-02-09,N/I,UN,2,6.54,Farinha de Trigo 1kg,N/I
572334,2023-04-11,N/I,UN,12,29.08,Leite Integral 1L,N/I
825310,2023-11-03,N/I,UN,11,84.81,Macarrão Espaguete 500g,N/I
744734,2023-09-22,N/I,UN,20,16.06,Achocolatado em Pó 400g,N/I
208383,2023-05-08,N/I,UN,20,35.82,Café Torrado e Moído 500g,N/I
425434,2023-10-23,N/I,UN,9,49.54,Macarrão Espaguete 500g,N/I
837455,2023-07-10,N/I,UN,1,9.03,Farinha de Trigo 1kg,N/I
238944,2023-04-21,N/I,UN,18,57.1,Sal Refinado 1kg,N/I
153811,2023-06-24,N/I,UN,16,87.16,Açúcar Refinado 1kg,N/I
506775,2023-11-12,N/I,UN,4,80.55,Açúcar Refinado 1kg,N/I
792503,2023-03-24,N/I,UN,15,63.81,Sal Refinado 1kg,N/I
611737,2023-12-23,N/I,UN,9,19.81,Feijão Carioca 1kg,N/I
578410,2023-06-02,N/I,UN,7,9.16,Café Torrado e Moído 500g,N/I
355123,2023-09-28,N/I,UN,4,50.36,Óleo de Soja 900ml,N/I
756646,2023-08-31,N/I,UN,17,66.82,Açúcar Refinado 1kg,N/I
467436,2023-06-04,N/I,UN,18,34.24,Farinha de Trigo 1kg,N/I
245372,2023-12-19,N/I,UN,18,69.36,Feijão Carioca 1kg,N/I
501922,2023-03-18,N/I,UN,8,24.75,Café Torrado e Moído 500g,N/I
835300,2023-12-30,N/I,UN,1,7.41,Leite Integral 1L,N/I
673048,2023-03-29,N/I,UN,7,39.73,Óleo de Soja 900ml,N/I
139499,2023-11-25,N/I,UN,10,37.62,Feijão Carioca 1kg,N/I
662667,2023-10-05,N/I,UN,10,94.26,Óleo de Soja 900ml,N/I
356089,2023-09-21,N/I,UN,19,95.58,Achocolatado em Pó 400g,N/I
132000,2023-07-30,N/I,UN,6,20.49,Achocolatado em Pó 400g,N/I
871894,2023-03-22,N/I,UN,14,98.47,Macarrão Espaguete 500g,N/I
904704,2023-01-06,N/I,UN,17,44.27,Óleo de Soja 900ml,N/I
477753,2023-07-23,N/I,UN,6,12.98,Leite Integral 1L,N/I
539982,2023-12-23,N/I,UN,4,33.8,Leite Integral 1L,N/I
574385,2023-09-21,N/I,UN,15,35.13,Óleo de Soja 900ml,N/I
971386,2023-02-06,N/I,UN,16,61.01,Arroz Branco 5kg,N/I
965947,2023-05-24,N/I,UN,17,73.0,Arroz Branco 5kg,N/I
810895,2023-06-27,N/I,UN,17,16.0,Feijão Carioca 1kg,N/I
947210,2023-11-07,N/I,UN,2,76.92,Leite Integral 1L,N/I
543980,2023-10-29,N/I,UN,10,58.51,Leite Integral 1L,N/I
