CodigoNFe,DataEmissao,MunicipioEmitente,unidadecomercial,quantidadecomercial,valorunitariocomercial,DescricaoProduto,CLEAN
455850,2023-03-31,N/I,UN,18,20.68,Caderno Universitário 200 folhas,N/I
255615,2023-06-25,N/I,UN,2,39.4,Apontador com depósito,N/I
276816,2023-04-04,N/I,UN,13,35.17,Tesoura Escolar,N/I
660039,2023-02-17,N/I,UN,7,42.12,Caneta Azul,N/I
609700,2023-03-10,N/I,UN,15,22.18,Caderno Universitário 200 folhas,N/I
598069,2023-09-04,N/I,UN,5,24.06,Mochila Escolar,N/I
366105,2023-12-31,N/I,UN,6,40.82,Apontador com depósito,N/I
673184,2023-12-11,N/I,UN,15,48.64,Lápis Preto HB,N/I
903202,2023-08-31,N/I,UN,3,41.52,Tesoura Escolar,N/I
541216,2023-04-17,N/I,UN,7,32.67,Cola Branca 90g,N/I
716964,2023-02-23,N/I,UN,11,32.71,Borracha Branca,N/I
385572,2023-12-07,N/I,UN,7,12.44,Apontador com depósito,N/I
905525,2023-02-12,N/I,UN,19,2.15,Caderno Universitário 200 folhas,N/I
109225,2023-06-02,N/I,UN,2,41.05,Lápis Preto HB,N/I
306391,2023-10-01,N/I,UN,11,22.11,Lápis Preto HB,N/I
702572,2023-01-05,N/I,UN,17,24.91,Apontador com depósito,N/I
955269,2023-08-29,N/I,UN,20,43.38,Caderno Universitário 200 folhas,N/I
124471,2023-10-25,N/I,UN,4,20.81,Estojo Simples,N/I
610161,2023-10-17,N/I,UN,8,6.12,Estojo Simples,N/I
701919,2023-12-04,N/I,UN,5,25.1,Apontador com depósito,N/I
196422,2023-04-10,N/I,UN,3,42.12,Caneta Azul,N/I
646349,2023-07-07,N/I,UN,6,2.7,Cola Branca 90g,N/I
598403,2023-11-29,N/I,UN,18,9.95,Régua 30cm,N/I
297397,2023-10-09,N/I,UN,9,14.2,Régua 30cm,N/I
693885,2023-12-07,N/I,UN,20,30.58,Estojo Simples,N/I
347575,2023-06-06,N/I,UN,2,44.76,Lápis Preto HB,N/I
926875,2023-02-07,N/I,UN,5,27.6,Caderno Universitário 200 folhas,N/I
316835,2023-11-11,N/I,UN,3,48.28,Caneta Azul,N/I
755454,2023-01-31,N/I,UN,10,10.76,Cola Branca 90g,N/I
127656,2023-11-20,N/I,UN,5,2.23,Tesoura Escolar,N/I
984984,2023-08-08,N/I,UN,2,11.5,Tesoura Escolar,N/I
555449,2023-08-12,N/I,UN,1,5.86,Lápis Preto HB,N/I
588211,2023-02-18,N/I,UN,5,10.79,Caneta Azul,N/I
430636,2023-12-02,N/I,UN,8,5.97,Mochila Escolar,N/I
808483,2023-12-26,N/I,UN,1,34.51,Apontador com depósito,N/I
992548,2023-06-04,N/I,UN,9,37.71,Tesoura Escolar,N/I
361077,2023-02-27,N/I,UN,12,45.85,Cola Branca 90g,N/I
540802,2023-04-07,N/I,UN,10,20.89,Cola Branca 90g,N/I
312517,2023-05-16,N/I,UN,13,20.85,Mochila Escolar,N/I
649664,2023-12-15,N/I,UN,6,35.93,Lápis Preto HB,N/I
570108,2023-04-15,N/I,UN,9,49.02,Cola Branca 90g,N/I
386806,2023-08-09,N/I,UN,20,30.03,Lápis Preto HB,N/I
705827,2023-05-17,N/I,UN,13,5.79,Caneta Azul,N/I
972875,2023-05-15,N/I,UN,1,37.34,Tesoura Escolar,N/I
193665,2023-02-02,N/I,UN,16,13.67,Régua 30cm,N/I
297567,2023-02-24,N/I,UN,5,42.31,Caneta Azul,N/I
729274,2023-05-31,N/I,UN,2,3.33,Caderno Universitário 200 folhas,N/I
655543,2023-04-13,N/I,UN,1,4.18,Lápis Preto HB,N/I
419446,2023-04-17,N/I,UN,20,44.7,Régua 30cm,N/I
815247,2023-08-11,N/I,UN,12,9.96,Caderno Universitário 200 folhas,N/I
957915,2023-10-20,N/I,UN,10,15.78,Cola Branca 90g,N/I
924269,2023-03-05,N/I,UN,20,44.51,Estojo Simples,N/I
931173,2023-01-06,N/I,UN,17,15.8,Caneta Azul,N/I
510610,2023-01-27,N/I,UN,2,40.66,Lápis Preto HB,N/I
834005,2023-05-12,N/I,UN,11,10.38,Régua 30cm,N/I
951524,2023-11-03,N/I,UN,12,30.31,Régua 30cm,N/I
298428,2023-10-25,N/I,UN,17,16.75,Mochila Escolar,N/I
438552,2023-02-10,N/I,UN,10,25.05,Borracha Branca,N/I
728506,2023-03-29,N/I,UN,2,1.47,Mochila Escolar,N/I
940340,2023-04-14,N/I,UN,5,45.24,Tesoura Escolar,N/I
344281,2023-12-17,N/I,UN,12,44.52,Tesoura Escolar,N/I
133034,2023-08-31,N/I,UN,6,30.26,Cola Branca 90g,N/I
285912,2023-09-24,N/I,UN,11,29.4,Borracha Branca,N/I
301850,2023-09-22,N/I,UN,2,27.45,Caneta Azul,N/I
718828,2023-10-01,N/I,UN,19,9.46,Tesoura Escolar,N/I
414068,2023-07-24,N/I,UN,18,35.14,Caderno Universitário 200 folhas,N/I
578082,2023-08-10,N/I,UN,3,43.68,Tesoura Escolar,N/I
849193,2023-02-20,N/I,UN,2,44.76,Régua 30cm,N/I
560828,2023-12-18,N/I,UN,17,5.61,Estojo Simples,N/I
649287,2023-05-31,N/I,UN,6,1.17,Tesoura Escolar,N/I
104052,2023-03-12,N/I,UN,17,33.97,Tesoura Escolar,N/I
585367,2023-05-19,N/I,UN,5,45.92,Borracha Branca,N/I
293670,2023-04-21,N/I,UN,12,21.59,Caneta Azul,N/I
475426,2023-08-14,N/I,UN,15,11.75,Apontador com depósito,N/I
831178,2023-01-25,N/I,UN,16,7.64,Apontador com depósito,N/I
318727,2023-05-04,N/I,UN,3,37.37,Caderno Universitário 200 folhas,N/I
319451,2023-02-24,N/I,UN,17,33.22,Apontador com depósito,N/I
606379,2023-08-14,N/I,UN,19,27.61,Régua 30cm,N/I
410661,2023-01-03,N/I,UN,15,9.24,Estojo Simples,N/I
331848,2023-12-08,N/I,UN,14,11.38,Caneta Azul,N/I
164136,2023-08-24,N/I,UN,18,34.15,Tesoura Escolar,N/I
258426,2023-11-17,N/I,UN,13,27.73,Régua 30cm,N/I
879063,2023-10-15,N/I,UN,6,2.96,Cola Branca 90g,N/I
947552,2023-12-01,N/I,UN,13,2.53,Estojo Simples,N/I
287088,2023-03-29,N/I,UN,9,14.98,Apontador com depósito,N/I
835260,2023-04-11,N/I,UN,3,9.0,Mochila Escolar,N/I
850595,2023-06-05,N/I,UN,7,5.85,Estojo Simples,N/I
254341,2023-05-19,N/I,UN,8,46.44,Régua 30cm,N/I
114466,2023-08-28,N/I,UN,2,13.83,Tesoura Escolar,N/I
586090,2023-05-09,N/I,UN,15,16.51,Régua 30cm,N/I
880660,2023-07-02,N/I,UN,15,4.12,Cola Branca 90g,N/I
229397,2023-06-20,N/I,UN,1,1.31,Caneta Azul,N/I
226333,2023-10-23,N/I,UN,11,37.19,Régua 30cm,N/I
792346,2023-10-22,N/I,UN,10,11.49,Borracha Branca,N/I
771111,2023-03-24,N/I,UN,20,37.53,Caderno Universitário 200 folhas,N/I
101808,2023-06-04,N/I,UN,5,2.83,Régua 30cm,N/I
895413,2023-12-23,N/I,UN,7,5.31,Caderno Universitário 200 folhas,N/I
119166,2023-05-09,N/I,UN,5,42.81,Tesoura Escolar,N/I
379578,2023-02-28,N/I,UN,5,46.07,Caneta Azul,N/I
592046,2023-05-28,N/I,UN,16,6.38,Régua 30cm,N/I
