CodigoNFe,DataEmissao,MunicipioEmitente,unidadecomercial,quantidadecomercial,valorunitariocomercial,DescricaoProduto,CLEAN
855671,2023-06-24,N/I,UN,5,874.08,Monitor LED 24'' Full HD,N/I
472313,2023-04-24,N/I,UN,6,791.35,Fonte 500W 80 Plus,N/I
607755,2023-10-29,N/I,UN,6,1407.26,Memória RAM 8GB DDR4,N/I
855586,2023-09-24,N/I,UN,10,394.06,Fonte 500W 80 Plus,N/I
758072,2023-02-28,N/I,UN,2,1301.75,Mouse Óptico USB,N/I
763807,2023-02-28,N/I,UN,10,469.39,Monitor LED 24'' Full HD,N/I
924251,2023-07-29,N/I,UN,4,375.36,Monitor LED 24'' Full HD,N/I
448562,2023-05-29,N/I,UN,3,1075.93,Processador Intel i5 12ª Geração,N/I
753180,2023-09-21,N/I,UN,10,645.22,HD Externo 1TB,N/I
797739,2023-07-16,N/I,UN,9,55.72,Processador Intel i5 12ª Geração,N/I
989760,2023-04-06,N/I,UN,7,677.63,Mouse Óptico USB,N/I
872426,2023-11-27,N/I,UN,1,1089.39,Cooler para CPU com RGB,N/I
390206,2023-09-04,N/I,UN,8,1328.94,HD Externo 1TB,N/I
630619,2023-01-22,N/I,UN,6,851.61,Fonte 500W 80 Plus,N/I
700362,2023-03-01,N/I,UN,5,1866.32,HD Externo 1TB,N/I
722497,2023-06-09,N/I,UN,3,920.73,Mouse Óptico USB,N/I
213230,2023-12-16,N/I,UN,2,514.86,Memória RAM 8GB DDR4,N/I
162463,2023-10-19,N/I,UN,2,1864.16,HD Externo 1TB,N/I
731936,2023-04-04,N/I,UN,6,558.38,HD Externo 1TB,N/I
327014,2023-11-22,N/I,UN,10,144.42,HD Externo 1TB,N/I
889330,2023-02-07,N/I,UN,1,1408.08,Fonte 500W 80 Plus,N/I
277222,2023-11-12,N/I,UN,4,1415.05,Monitor LED 24'' Full HD,N/I
559696,2023-07-05,N/I,UN,7,1066.85,Cooler para CPU com RGB,N/I
907615,2023-07-15,N/I,UN,6,1741.83,Fonte 500W 80 Plus,N/I
101819,2023-08-12,N/I,UN,10,825.96,Processador Intel i5 12ª Geração,N/I
516482,2023-01-23,N/I,UN,4,814.34,SSD NVMe 512GB,N/I
599058,2023-05-08,N/I,UN,10,1066.02,Teclado Mecânico RGB,N/I
344099,2023-03-05,N/I,UN,2,731.89,Placa de Vídeo GTX 1660,N/I
492919,2023-12-21,N/I,UN,4,929.54,Mouse Óptico USB,N/I
398766,2023-08-09,N/I,UN,10,506.83,Cooler para CPU com RGB,N/I
704007,2023-10-03,N/I,UN,10,1742.57,Cooler para CPU com RGB,N/I
937772,2023-03-27,N/I,UN,8,694.63,Mouse Óptico USB,N/I
312456,2023-01-12,N/I,UN,3,1765.1,Placa de Vídeo GTX 1660,N/I
407893,2023-05-23,N/I,UN,5,549.95,Processador Intel i5 12ª Geração,N/I
438309,2023-03-27,N/I,UN,8,1599.18,Mouse Óptico USB,N/I
767436,2023-11-06,N/I,UN,5,1466.24,HD Externo 1TB,N/I
124109,2023-12-18,N/I,UN,10,1176.29,Placa de Vídeo GTX 1660,N/I
641917,2023-11-19,N/I,UN,5,1470.36,SSD NVMe 512GB,N/I
624427,2023-06-21,N/I,UN,5,1894.29,Fonte 500W 80 Plus,N/I
756078,2023-02-23,N/I,UN,8,301.39,Processador Intel i5 12ª Geração,N/I
810395,2023-04-22,N/I,UN,7,1786.35,Memória RAM 8GB DDR4,N/I
219267,2023-05-14,N/I,UN,5,414.36,Mouse Óptico USB,N/I
922031,2023-01-14,N/I,UN,7,1289.86,Monitor LED 24'' Full HD,N/I
210371,2023-03-02,N/I,UN,5,856.97,Placa de Vídeo GTX 1660,N/I
779330,2023-05-16,N/I,UN,1,339.7,Mouse Óptico USB,N/I
575547,2023-01-02,N/I,UN,8,673.15,Mouse Óptico USB,N/I
820730,2023-06-09,N/I,UN,4,1729.45,Processador Intel i5 12ª Geração,N/I
398723,2023-09-24,N/I,UN,9,845.02,Teclado Mecânico RGB,N/I
295603,2023-07-03,N/I,UN,5,1435.4,Monitor LED 24'' Full HD,N/I
615977,2023-04-24,N/I,UN,8,114.36,Teclado Mecânico RGB,N/I
633318,2023-11-29,N/I,UN,2,1345.64,Monitor LED 24'' Full HD,N/I
783907,2023-01-21,N/I,UN,5,440.75,Memória RAM 8GB DDR4,N/I
129146,2023-11-02,N/I,UN,4,1644.91,Cooler para CPU com RGB,N/I
658385,2023-01-03,N/I,UN,9,618.32,Monitor LED 24'' Full HD,N/I
553257,2023-02-24,N/I,UN,4,1470.9,Monitor LED 24'' Full HD,N/I
265722,2023-06-29,N/I,UN,7,926.37,Teclado Mecânico RGB,N/I
860456,2023-09-02,N/I,UN,8,510.01,Monitor LED 24'' Full HD,N/I
286590,2023-05-03,N/I,UN,2,1382.5,Mouse Óptico USB,N/I
564470,2023-02-25,N/I,UN,4,1400.57,Memória RAM 8GB DDR4,N/I
271968,2023-03-01,N/I,UN,7,1905.52,Cooler para CPU com RGB,N/I
732488,2023-03-24,N/I,UN,4,712.41,HD Externo 1TB,N/I
796195,2023-03-27,N/I,UN,2,743.94,Teclado Mecânico RGB,N/I
602186,2023-03-05,N/I,UN,4,1561.73,Monitor LED 24'' Full HD,N/I
917395,2023-03-11,N/I,UN,6,349.52,SSD NVMe 512GB,N/I
108027,2023-11-12,N/I,UN,3,1485.48,Cooler para CPU com RGB,N/I
245251,2023-05-31,N/I,UN,2,1120.47,Processador Intel i5 12ª Geração,N/I
684355,2023-08-06,N/I,UN,4,1142.09,Processador Intel i5 12ª Geração,N/I
836206,2023-12-18,N/I,UN,1,770.39,Placa de Vídeo GTX 1660,N/I
555807,2023-03-02,N/I,UN,5,109.97,Teclado Mecânico RGB,N/I
441832,2023-06-04,N/I,UN,10,1164.55,Processador Intel i5 12ª Geração,N/I
542380,2023-08-25,N/I,UN,6,901.2,Cooler para CPU com RGB,N/I
763189,2023-11-03,N/I,UN,1,905.84,Cooler para CPU com RGB,N/I
991321,2023-05-30,N/I,UN,5,1720.31,Processador Intel i5 12ª Geração,N/I
678558,2023-03-19,N/I,UN,2,736.97,Monitor LED 24'' Full HD,N/I
482880,2023-04-08,N/I,UN,4,1898.78,Memória RAM 8GB DDR4,N/I
803731,2023-12-22,N/I,UN,4,1394.48,Mouse Óptico USB,N/I
